Username,Category*,Title*,Subtitle,Date*,Time: Start*,Time: End,Location*,Audience*,Description,Note about repeating dates,Other important info,Sponsors,Tags,Invisible--Will not display on web site (for internal programs/stats use only),Central Event Location,*Required field
tesslerj,All Ages Storytime,All Ages Storytime,,5/31/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Pajama Storytime,PJ Storytime,,1/19/23,6:30 PM,7:30 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Pajama Storytime,PJ Storytime,,2/16/23,6:30 PM,7:30 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Pajama Storytime,PJ Storytime,,3/16/23,6:30 PM,7:30 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Pajama Storytime,PJ Storytime,,4/20/23,6:30 PM,7:30 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Pajama Storytime,PJ Storytime,,5/18/23,6:30 PM,7:30 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,1/10/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,1/17/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,1/24/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,1/31/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,2/7/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,2/14/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,2/21/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,2/28/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,3/7/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,3/21/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,3/28/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,4/4/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,4/11/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,4/18/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,4/25/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,5/2/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,5/9/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,5/16/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Youth Programs & Workshops,Tech Tuesdays,,5/23/23,3:30 PM,5:00 PM,Little Walnut Creek Branch,Children,,,,,,,,
