User Name,Topic,Room,Expected Attendance,Date,TimeStart,TimeEnd
rowanh,Seed Swap,Yarborough Branch,25,2023-06-17,2:00 PM,5:00 PM
rowanh,Seed Swap,Yarborough Branch,25,2023-07-15,2:00 PM,5:00 PM
rowanh,Seed Swap,Yarborough Branch,25,2023-08-19,2:00 PM,5:00 PM
rowanh,Seed Swap,Yarborough Branch,25,2023-09-16,2:00 PM,5:00 PM
rowanh,Seed Swap,Yarborough Branch,25,2023-10-21,2:00 PM,5:00 PM
rowanh,Seed Swap,Yarborough Branch,25,2023-11-18,2:00 PM,5:00 PM
rowanh,Seed Swap,Yarborough Branch,25,2023-12-16,2:00 PM,5:00 PM
rowanh,Solidarity Economy,Yarborough Branch,50,2023-01-16,5:00 PM,8:00 PM
rowanh,Solidarity Economy,Yarborough Branch,50,2023-02-20,5:00 PM,8:00 PM
rowanh,Solidarity Economy,Yarborough Branch,50,2023-03-20,5:00 PM,8:00 PM
rowanh,Solidarity Economy,Yarborough Branch,50,2023-04-17,5:00 PM,8:00 PM
rowanh,Solidarity Economy,Yarborough Branch,50,2023-05-15,5:00 PM,8:00 PM
rowanh,Solidarity Economy,Yarborough Branch,50,2023-06-19,5:00 PM,8:00 PM
rowanh,Solidarity Economy,Yarborough Branch,50,2023-07-17,5:00 PM,8:00 PM
rowanh,Solidarity Economy,Yarborough Branch,50,2023-08-21,5:00 PM,8:00 PM
rowanh,Solidarity Economy,Yarborough Branch,50,2023-09-18,5:00 PM,8:00 PM
rowanh,Solidarity Economy,Yarborough Branch,50,2023-10-16,5:00 PM,8:00 PM
rowanh,Solidarity Economy,Yarborough Branch,50,2023-11-20,5:00 PM,8:00 PM
rowanh,Solidarity Economy,Yarborough Branch,50,2023-12-18,5:00 PM,8:00 PM
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
